School Name,City,State,Country,Website,Program Name,Degree Level,Accreditation Dates,Accredited Campus Locations,Criteria,Date of Next Comprehensive Review,Accredited By,International Mutual Recognition Aggreement
DeVry University (includes all institution locations with ABET-accredited programs),Lisle,Illinois,United States,www.devry.edu,Electronics Engineering Technology,Bachelors,"Oct 1, 2009 – Present","Phoenix, Arizona, Fremont, California, Miramar, Florida, Orlando, Florida, Decatur, Georgia, North Brunswick/Paramus, New Jersey (North Brunswick Only), Columbus, Ohio, Ft. Washington, Pennsylvania, Irving, Texas, Long Beach, California, Westminster, Colorado, Folsom, California, Kansas City, Missouri, Mid-town Manhattan (DeVry College of New York), New York (BT Degree), Houston, Texas, Arlington, Viginia, Addison, Illinois, Tinley Park, Illinois, Alpharetta, Georgia, Pomona, California, Sherman Oaks, California, Chicago, Illinois, Main Campus",Electrical and Electronics Engineering Technology,2028-2029,ETAC,Sydney Accord
DeVry University (includes all institution locations with ABET-accredited programs),Lisle,Illinois,United States,www.devry.edu,Engineering Technology,Bachelors,"Oct 1, 2014 – Present",DeVry University - Main Campus,General Criteria Only (ETAC),2028-2029,ETAC,Sydney Accord
DeVry University (includes all institution locations with ABET-accredited programs),Lisle,Illinois,United States,www.devry.edu,Engineering Technology-Computers,Bachelors,"Oct 1, 2014 – Present",Main Campus,Computer Engineering Technology,2028-2029,ETAC,Sydney Accord
DeVry University (includes all institution locations with ABET-accredited programs),Lisle,Illinois,United States,www.devry.edu,Engineering Technology,Associates,"Oct 1, 2021 – Present",DeVry University - Main Campus,General Criteria Only (ETAC),2028-2029,ETAC,Dublin Accord
DigiPen Institute of Technology,Redmond,Washington,United States,www.digipen.edu,Computer Science in Real-Time Interactive Simulation,Bachelors,"Oct 1, 2015 – Present",Main Campus,Computer Science,2028-2029,CAC,Seoul Accord
DigiPen Institute of Technology,Redmond,Washington,United States,www.digipen.edu,Computer Engineering,Bachelors,"Oct 1, 2012 – Present",Main Campus,Computer Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
University of the District of Columbia,Washington,District of Columbia,United States,www.udc.edu,Computer Science,Bachelors,"Oct 1, 2003 – Sep 30, 2004, Oct 1, 2007 – Present",Main Campus,Computer Science,2026-2027,CAC,Seoul Accord
University of the District of Columbia,Washington,District of Columbia,United States,www.udc.edu,Civil Engineering,Bachelors,"Oct 1, 1988 – Present",Main Campus,Civil Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
University of the District of Columbia,Washington,District of Columbia,United States,www.udc.edu,Electrical Engineering,Bachelors,"Oct 1, 1988 – Present",Main Campus,Electrical and Electronics Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
University of the District of Columbia,Washington,District of Columbia,United States,www.udc.edu,Mechanical Engineering,Bachelors,"Oct 1, 1988 – Present",Main Campus,Mechanical Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
University of the District of Columbia,Washington,District of Columbia,United States,www.udc.edu,Biomedical Engineering,Bachelors,"Oct 1, 2019 – Present",Main Campus,Bioengineering and Biomedical Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
Doane University,Crete,Nebraska,United States,www.doane.edu,Engineering,Bachelors,"Oct 1, 2019 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Dordt University,Sioux Center,Iowa,United States,www.dordt.edu,Engineering,Bachelors,"Oct 1, 1989 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Computer Engineering,Bachelors,"Oct 1, 2000 – Present",Main Campus,Computer Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Environmental Engineering,Bachelors,"Oct 1, 2000 – Present",Main Campus,Environmental Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Engineering Technology,Bachelors,"Oct 1, 2007 – Present",Main Campus,Engineering Technology,2025-2026,ETAC,Sydney Accord
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Architectural Engineering,Bachelors,"Oct 1, 1989 – Present",Main Campus,Architectural Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Chemical Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,"Chemical, Biochemical, Biomolecular Engineering",2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Civil Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Civil Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Electrical Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Electrical and Electronics Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Materials Science and Engineering,Bachelors,"Oct 1, 1953 – Present",Main Campus,Materials Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Mechanical Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Mechanical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Drexel University,Philadelphia,Pennsylvania,United States,www.drexel.edu,Biomedical Engineering,Bachelors,"Oct 1, 2000 – Present",Main Campus,Bioengineering and Biomedical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Duke University,Durham,North Carolina,United States,www.duke.edu,Electrical and Computer Engineering,Bachelors,"Oct 1, 2001 – Present",Main Campus,"Electrical and Electronics Engineering, Computer Engineering",2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
Duke University,Durham,North Carolina,United States,www.duke.edu,Environmental Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,Environmental Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
Duke University,Durham,North Carolina,United States,www.duke.edu,Biomedical Engineering,Bachelors,"Oct 1, 1972 – Present",Main Campus,Bioengineering and Biomedical Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
Duke University,Durham,North Carolina,United States,www.duke.edu,Civil Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Civil Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
Duke University,Durham,North Carolina,United States,www.duke.edu,Mechanical Engineering,Bachelors,"Oct 1, 1936 – Present",Main Campus,Mechanical Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
Dunwoody College of Technology,Minneapolis,Minnesota,United States,http://www.dunwoody.edu/,Mechanical Engineering,Bachelors,"Oct 1, 2019 – Present",Main Campus,Mechanical Engineering,2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Dunwoody College of Technology,Minneapolis,Minnesota,United States,http://www.dunwoody.edu/,Industrial Engineering Technology,Bachelors,"Oct 1, 2014 – Present",Main Campus,Industrial Engineering Technology,2027-2028,ETAC,Sydney Accord
Dunwoody College of Technology,Minneapolis,Minnesota,United States,http://www.dunwoody.edu/,Automation & Controls Engineering Technology,Bachelors,"Oct 1, 2021 – Present",Main Campus,Instrumentation and Control Systems Engineering Technology,2027-2028,ETAC,Sydney Accord
Duquesne University,Pittsburgh,Pennsylvania,United States,http://www.duq.edu/,Biomedical Engineering,Bachelors,"Oct 1, 2018 – Present",Main Campus,Bioengineering and Biomedical Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
East Carolina University,Greenville,North Carolina,United States,www.ecu.edu,Occupational Safety,Masters,"Oct 1, 2013 – Present",College of Engineering and Technology,Safety,2026-2027,ANSAC,
East Carolina University,Greenville,North Carolina,United States,www.ecu.edu,Computer Science,Bachelors,"Oct 1, 2020 – Present",Main Campus,Computer Science,2027-2028,CAC,Seoul Accord
East Carolina University,Greenville,North Carolina,United States,www.ecu.edu,Engineering,Bachelors,"Oct 1, 2007 – Present",College of Engineering and Technology,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
East Stroudsburg University of Pennsylvania,East Stroudsburg,Pennsylvania,United States,http://www4.esu.edu,Computer Science,Bachelors,"Oct 1, 2009 – Present",Main Campus,Computer Science,2028-2029,CAC,Seoul Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Computing with concentration in Computer Science,Bachelors,"Oct 1, 1994 – Present",Main Campus,Computer Science,2029-2030,CAC,Seoul Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Computing with concentration in Information Technology,Bachelors,"Oct 1, 2005 – Present",Main Campus,Information Technology,2029-2030,CAC,Seoul Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Computing with concentration in Information Systems Science,Bachelors,"Oct 1, 2010 – Present","Main Campus, BlueSky Chattanooga Center",Information Systems,2029-2030,CAC,Seoul Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Computing with concentration in Cybersecurity and Modern Networks,Bachelors,"Oct 1, 2021 – Present",Main Campus,Cybersecurity,2029-2030,CAC,Seoul Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Engineering,Bachelors,"Oct 1, 2019 – Present","Main Campus, Tennessee Tech University","Engineering, General Engineering, Engineering Physics, and Engineering Science",2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Construction Engineering Technology,Bachelors,"Oct 1, 1987 – Present",Main Campus,Construction Engineering Technology,2025-2026,ETAC,Sydney Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Electronic(s) Engineering Technology,Bachelors,"Oct 1, 1980 – Present",Main Campus,Electrical and Electronics Engineering Technology,2025-2026,ETAC,Sydney Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Manufacturing Engineering Technology,Bachelors,"Oct 1, 1982 – Sep 30, 2002, Oct 1, 2003 – Present",Main Campus,Manufacturing Engineering Technology,2025-2026,ETAC,Sydney Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Biomedical Engineering Technology,Bachelors,"Oct 1, 2012 – Present",Main Campus,Healthcare Engineering Technology,2025-2026,ETAC,Sydney Accord
East Tennessee State University,Johnson City,Tennessee,United States,www.etsu.edu,Surveying and Mapping Science,Bachelors,"Oct 1, 1992 – Present","Main Campus, Valleybrook Campus",Surveying and Geomatics,2025-2026,ANSAC,
East Texas A&M University,Commerce,Texas,United States,https://www.tamuc.edu/,Computer Science,Bachelors,"Oct 1, 2015 – Present","Main Campus, Texas A&M University System RELLIS Campus",Computer Science,2028-2029,CAC,Seoul Accord
East Texas A&M University,Commerce,Texas,United States,https://www.tamuc.edu/,Industrial Engineering,Bachelors,"Oct 1, 2004 – Present",Main Campus,Industrial Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
East Texas A&M University,Commerce,Texas,United States,https://www.tamuc.edu/,Construction Engineering,Bachelors,"Oct 1, 2012 – Present",Main Campus,Construction Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
East Texas A&M University,Commerce,Texas,United States,https://www.tamuc.edu/,Electrical Engineering,Bachelors,"Oct 1, 2019 – Present",Main Campus,Electrical and Electronics Engineering,2029-2030,EAC,Washington Accord | Bilateral Engineers Canada
Eastern Kentucky University,Richmond,Kentucky,United States,www.eku.edu,Computer Science (with concentration in General Computer Science),Bachelors,"Oct 1, 1991 – Present",Main Campus,Computer Science,2029-2030,CAC,Seoul Accord
Eastern Kentucky University,Richmond,Kentucky,United States,www.eku.edu,Fire Protection and Safety Engineering Technology,Bachelors,"Oct 1, 2013 – Present",Main Campus,"General Criteria Only (ETAC), Fire Protection Engineering Technology",2026-2027,ETAC,Sydney Accord
Eastern Mennonite University,Harrisonburg,Virginia,United States,https://emu.edu,Engineering,Bachelors,"Oct 1, 2019 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Eastern Michigan University,Ypsilanti,Michigan,United States,www.emich.edu,Cybersecurity,Bachelors,"Oct 1, 2017 – Present",Main Campus,Cybersecurity,2024-2025,CAC,Seoul Accord
Eastern Michigan University,Ypsilanti,Michigan,United States,www.emich.edu,Mechanical Engineering,Bachelors,"Oct 1, 2018 – Present",Main Campus,Mechanical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Eastern Michigan University,Ypsilanti,Michigan,United States,www.emich.edu,Electrical and Computer Engineering,Bachelors,"May 1, 2021 – Present",Main Campus,"Computer Engineering, Electrical and Electronics Engineering",2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Eastern Michigan University,Ypsilanti,Michigan,United States,www.emich.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 2010 – Present",Main Campus,Mechanical Engineering Technology,2024-2025,ETAC,Sydney Accord
Eastern Michigan University,Ypsilanti,Michigan,United States,www.emich.edu,Product Design Engineering Technology,Bachelors,"Oct 1, 2017 – Present",Main Campus,Engineering Graphics/Design/Drafting Engineering Technology (Mechanical),2024-2025,ETAC,Sydney Accord
Eastern Michigan University,Ypsilanti,Michigan,United States,www.emich.edu,Computer and Electrical Engineering Technology,Bachelors,"Oct 1, 2017 – Present",Main Campus,Electrical and Electronics Engineering Technology,2024-2025,ETAC,Sydney Accord
Eastern Washington University,Cheney,Washington,United States,www.ewu.edu,Computer Science,Bachelors,"Oct 1, 1987 – Present",Catalyst Building,Computer Science,2028-2029,CAC,Seoul Accord
Eastern Washington University,Cheney,Washington,United States,www.ewu.edu,Electrical and Computer Engineering,Bachelors,"Oct 1, 2006 – Present","North Seattle Community College, Main Campus",Electrical and Electronics Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Eastern Washington University,Cheney,Washington,United States,www.ewu.edu,Mechanical Engineering,Bachelors,"Oct 1, 2011 – Present",Main Campus,Mechanical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Eastern Washington University,Cheney,Washington,United States,www.ewu.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 1989 – Present",Main Campus,Mechanical Engineering Technology,2029-2030,ETAC,Sydney Accord
ECPI University,Virginia Beach,Virginia,United States,www.ecpi.edu,Electronic Systems Engineering Technology,Bachelors,"May 31, 2019 – Present","Virginia Beach, ECPI University Newport News Campus, ECPI University Online Campus",Electrical and Electronics Engineering Technology,2026-2027,ETAC,Sydney Accord
ECPI University,Virginia Beach,Virginia,United States,www.ecpi.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 2019 – Present","Virginia Beach, ECPI University Online Campus",Mechanical Engineering Technology,2026-2027,ETAC,Sydney Accord
Elizabeth City State University,Elizabeth City,North Carolina,United States,http://www.ecsu.edu,Engineering Technology,Bachelors,"Oct 1, 2013 – Present",Main Campus,Engineering Technology,2026-2027,ETAC,Sydney Accord
Elizabethtown College,Elizabethtown,Pennsylvania,United States,www.etown.edu,Engineering,Bachelors,"Oct 1, 2007 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
Elon University,Elon,North Carolina,United States,https://www.elon.edu/,Engineering,Bachelors,"Oct 1, 2019 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Engineering Physics,Bachelors,"Oct 1, 1991 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Computer Engineering,Bachelors,"Oct 1, 2001 – Present",Main Campus,Computer Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Software Engineering,Bachelors,"Oct 1, 2003 – Present",Main Campus,Software Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Mechanical Engineering,Bachelors,"Oct 1, 2005 – Present",Main Campus,Mechanical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Electrical Engineering,Bachelors,"Oct 1, 2007 – Present",Main Campus,Electrical and Electronics Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Aerospace and Occupational Safety,Bachelors,"Oct 1, 2018 – Present",Main Campus,Safety,2025-2026,ANSAC,
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Computer Science,Bachelors,"Oct 1, 2012 – Present",Main Campus,Computer Science,2025-2026,CAC,Seoul Accord
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Aerospace Engineering,Bachelors,"Oct 1, 1975 – Present",Main Campus,Aerospace Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,Florida,United States,www.db.erau.edu,Civil Engineering,Bachelors,"Oct 1, 1997 – Present",Main Campus,Civil Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Prescott,Prescott,Arizona,United States,prescott.erau.edu,Mechanical Engineering,Bachelors,"Oct 1, 2009 – Present",Embry-Riddle Aeronautical University,Mechanical Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Prescott,Prescott,Arizona,United States,prescott.erau.edu,Software Engineering,Bachelors,"Oct 1, 2015 – Present",Embry-Riddle Aeronautical University,Software Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Prescott,Prescott,Arizona,United States,prescott.erau.edu,Cyber Intelligence and Security,Bachelors,"Oct 1, 2018 – Present","College of Security & Intelligence, Embry-Riddle Aeronautical University",Cybersecurity,2025-2026,CAC,Seoul Accord
Embry-Riddle Aeronautical University - Prescott,Prescott,Arizona,United States,prescott.erau.edu,Aerospace Engineering,Bachelors,"Oct 1, 1985 – Present",Embry-Riddle Aeronautical University,Aerospace Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Prescott,Prescott,Arizona,United States,prescott.erau.edu,Electrical Engineering,Bachelors,"Oct 1, 1991 – Present",Embry-Riddle Aeronautical University,Electrical and Electronics Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Embry-Riddle Aeronautical University - Prescott,Prescott,Arizona,United States,prescott.erau.edu,Computer Engineering,Bachelors,"Jun 1, 2003 – Present",Embry-Riddle Aeronautical University,Computer Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
"Embry-Riddle Aeronautical University - Worldwide ",Daytona Beach,Florida,United States,https://worldwide.erau.edu/,Associate of Science in Engineering Fundamentals,Associates,"Oct 1, 2017 – Present",Online Only,General Criteria Only (ANSAC),2024-2025,ANSAC,
"Embry-Riddle Aeronautical University - Worldwide ",Daytona Beach,Florida,United States,https://worldwide.erau.edu/,Master of Science in Occupational Safety Management,Masters,"Oct 1, 2020 – Present",Online Only,Safety,2024-2025,ANSAC,
"Embry-Riddle Aeronautical University - Worldwide ",Daytona Beach,Florida,United States,https://worldwide.erau.edu/,Engineering,Bachelors,"Oct 1, 2019 – Present",Online Only,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2027-2028,EAC,Washington Accord | Bilateral Engineers Canada
"Embry-Riddle Aeronautical University - Worldwide ",Daytona Beach,Florida,United States,https://worldwide.erau.edu/,Engineering Technology,Bachelors,"Oct 1, 2017 – Present",Online Only,"Engineering Technology, General Criteria Only (ETAC)",2024-2025,ETAC,Sydney Accord
Endicott College,Beverly,Massachusetts,United States,https://www.endicott.edu/,Engineering,Bachelors,"Oct 1, 2021 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
"Erie Community College, North Campus",Williamsville,New York,United States,www.ecc.edu,Civil Engineering Technology,Associates,"Oct 1, 1959 – Present",Main Campus,Civil Engineering Technology,2026-2027,ETAC,Dublin Accord
"Erie Community College, North Campus",Williamsville,New York,United States,www.ecc.edu,Electrical Engineering Technology,Associates,"Oct 1, 1959 – Present",Main Campus,Electrical and Electronics Engineering Technology,2026-2027,ETAC,Dublin Accord
"Erie Community College, North Campus",Williamsville,New York,United States,www.ecc.edu,Mechanical Engineering Technology,Associates,"Oct 1, 1959 – Present",Main Campus,Mechanical Engineering Technology,2026-2027,ETAC,Dublin Accord
"Erie Community College, North Campus",Williamsville,New York,United States,www.ecc.edu,Construction Management Engineering Technology,Associates,"Oct 1, 2001 – Present",Main Campus,Construction Engineering Technology,2026-2027,ETAC,Dublin Accord
Essex County College,Newark,New Jersey,United States,www.essex.edu,Civil Construction Engineering Technology,Associates,"Oct 1, 1996 – Present",Main Campus,"Construction Engineering Technology, Civil Engineering Technology",2028-2029,ETAC,Dublin Accord
Essex County College,Newark,New Jersey,United States,www.essex.edu,Electrical Engineering Technology,Associates,"Oct 1, 2003 – Present",Main Campus,"Computer Engineering Technology, Electrical and Electronics Engineering Technology",2028-2029,ETAC,Dublin Accord
Essex County College,Newark,New Jersey,United States,www.essex.edu,Mechanical & Manufacturing Engineering Technology,Associates,"Oct 1, 2009 – Present",Main Campus,"Manufacturing Engineering Technology, Mechanical Engineering Technology",2028-2029,ETAC,Dublin Accord
University of Evansville,Evansville,Indiana,United States,www.evansville.edu,Civil Engineering,Bachelors,"Oct 1, 1995 – Present",Main Campus,Civil Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
University of Evansville,Evansville,Indiana,United States,www.evansville.edu,Computer Engineering,Bachelors,"Oct 1, 1995 – Present",Main Campus,Computer Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
University of Evansville,Evansville,Indiana,United States,www.evansville.edu,Electrical Engineering,Bachelors,"Oct 1, 1970 – Present",Main Campus,Electrical and Electronics Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
University of Evansville,Evansville,Indiana,United States,www.evansville.edu,Mechanical Engineering,Bachelors,"Oct 1, 1970 – Present",Main Campus,Mechanical Engineering,2026-2027,EAC,Washington Accord | Bilateral Engineers Canada
Excelsior University,Albany,New York,United States,www.excelsior.edu,Information Technology,Bachelors,"Oct 1, 2015 – Present",Main Campus,Information Technology,2027-2028,CAC,Seoul Accord
Excelsior University,Albany,New York,United States,www.excelsior.edu,Electrical Engineering Technology,Bachelors,"Oct 1, 1996 – Present",Main Campus,Electrical and Electronics Engineering Technology,2027-2028,ETAC,Sydney Accord
Excelsior University,Albany,New York,United States,www.excelsior.edu,Nuclear Engineering Technology,Bachelors,"Oct 1, 1998 – Present",Main Campus,Nuclear Engineering Technology,2027-2028,ETAC,Sydney Accord
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Computer Science,Bachelors,"Oct 1, 1987 – Present",Metropolitan Campus (Main Campus),Computer Science,2025-2026,CAC,Seoul Accord
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Information Technology,Bachelors,"Oct 1, 2017 – Present",Metropolitan Campus (Main Campus),Information Technology,2025-2026,CAC,Seoul Accord
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Electrical Engineering,Bachelors,"Oct 1, 1960 – Present",Main Campus,Electrical and Electronics Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Civil Engineering,Bachelors,"Oct 1, 2019 – Present",Fairleigh Dickinson,Civil Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Mechanical Engineering,Bachelors,"Oct 1, 2020 – Present",Main Campus,Mechanical Engineering,2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Civil Engineering Technology,Bachelors,"Oct 1, 1991 – Present",Metropolitan Campus (Main Campus),Civil Engineering Technology,2025-2026,ETAC,Sydney Accord
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Construction Engineering Technology,Bachelors,"Oct 1, 1991 – Present",Metropolitan Campus (Main Campus),Construction Engineering Technology,2025-2026,ETAC,Sydney Accord
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Electrical Engineering Technology,Bachelors,"Oct 1, 1991 – Present",Metropolitan Campus (Main Campus),Electrical and Electronics Engineering Technology,2025-2026,ETAC,Sydney Accord
Fairleigh Dickinson University (Metropolitan Campus),Teaneck,New Jersey,United States,www.fdu.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 1991 – Present",Metropolitan Campus (Main Campus),Mechanical Engineering Technology,2025-2026,ETAC,Sydney Accord
Fairmont State University,Fairmont,West Virginia,United States,www.fairmontstate.edu,Occupational Safety,Bachelors,"Oct 1, 2006 – Present",Main Campus,Safety,2025-2026,ANSAC,
Fairmont State University,Fairmont,West Virginia,United States,www.fairmontstate.edu,Civil Engineering Technology,Associates,"Oct 1, 1988 – Present",Main Campus,Civil Engineering Technology,2025-2026,ETAC,Dublin Accord
Fairmont State University,Fairmont,West Virginia,United States,www.fairmontstate.edu,Civil Engineering Technology,Bachelors,"Oct 1, 1988 – Present",Main Campus,Civil Engineering Technology,2025-2026,ETAC,Sydney Accord
Fairmont State University,Fairmont,West Virginia,United States,www.fairmontstate.edu,Electronic(s) Engineering Technology,Associates,"Oct 1, 1987 – Present",Main Campus,Electrical and Electronics Engineering Technology,2025-2026,ETAC,Dublin Accord
Fairmont State University,Fairmont,West Virginia,United States,www.fairmontstate.edu,Electronic(s) Engineering Technology,Bachelors,"Oct 1, 1987 – Present",Main Campus,Electrical and Electronics Engineering Technology,2025-2026,ETAC,Sydney Accord
Fairmont State University,Fairmont,West Virginia,United States,www.fairmontstate.edu,Mechanical Engineering Technology,Associates,"Oct 1, 1988 – Present",Main Campus,Mechanical Engineering Technology,2025-2026,ETAC,Dublin Accord
Fairmont State University,Fairmont,West Virginia,United States,www.fairmontstate.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 1988 – Present",Main Campus,Mechanical Engineering Technology,2025-2026,ETAC,Sydney Accord
Fairmont State University,Fairmont,West Virginia,United States,www.fairmontstate.edu,Surveying and Geomatics Engineering Technology,Bachelors,"Oct 1, 2020 – Present",Main Campus,Surveying and Geomatics Engineering Technology,2025-2026,ETAC,Sydney Accord
Farmingdale State College,Farmingdale,New York,United States,www.farmingdale.edu,Electrical Engineering Technology,Bachelors,"Oct 1, 1986 – Present",Main Campus,Electrical and Electronics Engineering Technology,2025-2026,ETAC,Sydney Accord
